Table ZZ output with n=2000

{3, 3}
{1353733, 564541}
{1395943, 531901}
{1398307, 903813}
{1419673, 563817}
{1424443, 575509}
{1431613, 902539}
{1441201, 903153}
{1446007, 875785}
{1462891, 589271}
{1482307, 584641}
{1492063, 582895}
{1514131, 933099}
{1573771, 968861}
{1578793, 985489}
{1588861, 1011323}
{1596433, 621889}
{1619257, 1031131}
{1624351, 1040401}
{1626901, 646933}
{1642243, 630745}
{1678321, 671329}
{1712173, 1083853}
{1727911, 1117751}
{1735807, 713039}
{1751653, 681861}
{1772893, 668665}
{1796941, 1142533}
{1804993, 713665}
{1821151, 726301}
{1829257, 1174405}
{1848241, 730321}
{1861861, 1187551}
{1864591, 710321}
{1886503, 766693}
{1905781, 1215281}
{1922383, 1184499}
{1939057, 1231413}
{1964203, 794935}
{2003641, 766057}
{2020663, 777835}
{2023507, 1351851}
{2037757, 831097}
{2057791, 1282891}
{2075041, 1331485}
{2080807, 1330447}
{2083693, 820193}
{2098153, 1344673}
{2101051, 793151}
{2115571, 1332781}
{2171203, 877031}
{2177101, 863461}
{2203741, 1372141}
{2212657, 851137}
{2233531, 1435201}
{2266531, 909625}
{2296741, 930825}
{2311921, 1463203}
{2330203, 1401787}
{2339371, 918001}
{2360833, 1518557}
{2370061, 910141}
{2394757, 924157}
{2397853, 1483943}
{2432041, 968761}
{2435161, 1539147}
{2441407, 1478599}
{2453923, 1576403}
{2460193, 1518793}
{2501143, 996661}
{2507473, 1009009}
{2529691, 1635549}
{2536057, 1621675}
{2548813, 1664075}
{2596933, 1062309}
{2613073, 1623469}
{2626021, 1676115}
{2665057, 1734247}
{2704381, 1770021}
{2710963, 1735939}
{2724151, 1697229}
{2750623, 1768495}
{2753941, 1113861}
{2773891, 1106225}
{2810653, 1680355}
{2840911, 1175143}
{2864557, 1825055}
{2874721, 1143105}
{2891701, 1877905}
{2895103, 1114811}
{2915557, 1152901}
{2922391, 1149121}
{2946373, 1861229}
{2953243, 1866835}
{3050263, 1974111}
{3057253, 1941391}
{3088807, 1232359}
{3124057, 1274729}
{3134671, 1990605}
{3198733, 1975057}
{3241801, 2071151}
{3263443, 2150331}
{3274291, 1346641}
{3281533, 1324573}
{3292411, 2054581}
{3306943, 2106403}
{3336103, 2115667}
{3358057, 2071291}
{3391123, 1361239}
{3413257, 1337953}
{3416953, 2185519}
{3435463, 1392355}
{3472633, 1297345}
{3558883, 2290819}
{3592921, 1410625}
{3619507, 2317855}
{3699853, 1504569}
{3730693, 1487641}
{3734557, 2362127}
{3812257, 2406097}
{3827893, 2367971}
{3882871, 2392795}
{3894703, 1551565}
{3898651, 2326551}
{3910507, 1556687}
{3930307, 2526343}
{3946183, 2543361}
{3978031, 2597491}
{4002001, 2533267}
